Flow Duration,Total Fwd Packets,Total Backward Packets,Flow Bytes/s,Flow Packets/s,SYN Flag Count,ACK Flag Count,Label
51636,48,60,11857,247,7,8,BENIGN
51015,6,46,43261,289,3,21,BENIGN
55268,89,36,74588,586,9,44,BENIGN
88939,56,58,17995,441,9,47,BENIGN
19141,59,76,14580,147,1,34,BENIGN
81356,29,38,19240,278,7,36,BENIGN
72910,71,11,84446,749,6,16,BENIGN
57044,77,12,76752,210,9,27,BENIGN
68214,18,42,47111,151,8,0,BENIGN
34827,2,39,91447,621,1,8,BENIGN
56820,8,71,35866,659,4,48,BENIGN
63623,75,11,81974,689,5,12,BENIGN
82734,97,36,74401,928,1,46,BENIGN
76450,54,52,83093,620,1,31,BENIGN
94426,38,31,13211,832,9,27,BENIGN
23299,48,33,59985,840,3,30,BENIGN
44585,27,13,34268,848,7,7,BENIGN
65044,20,18,4646,947,4,7,BENIGN
43557,12,41,56371,364,8,33,BENIGN
50080,43,58,43816,587,3,22,BENIGN
3693,61,56,90460,856,2,9,BENIGN
96003,31,24,45112,338,9,36,BENIGN
96259,91,73,52048,568,7,47,BENIGN
70163,96,31,55911,858,0,24,BENIGN
26939,61,55,76446,903,8,32,BENIGN
49925,74,10,2778,240,3,44,BENIGN
43941,67,60,46752,317,8,3,BENIGN
22834,91,2,85977,667,7,6,BENIGN
19047,35,15,71726,728,2,32,BENIGN
27105,95,3,81840,155,2,1,BENIGN
76766,15,43,28289,161,8,47,BENIGN
16707,16,31,45788,800,2,45,BENIGN
22976,13,70,5747,149,3,31,BENIGN
45262,35,67,75822,672,8,4,BENIGN
24776,75,56,1045,30,3,45,BENIGN
31080,59,63,96278,263,2,16,BENIGN
67842,21,75,8758,73,6,11,BENIGN
62373,54,15,24437,227,5,11,BENIGN
7776,75,92,20585,81,0,34,BENIGN
93787,30,10,99759,999,9,20,BENIGN
56016,48,38,10854,171,7,20,BENIGN
10474,35,47,53076,139,0,1,BENIGN
59053,86,57,57950,590,3,20,BENIGN
22959,38,50,18349,936,5,14,BENIGN
6530,31,71,97228,234,5,10,BENIGN
95856,78,15,22348,767,6,9,BENIGN
4748,24,18,35296,589,4,17,BENIGN
98504,49,82,20455,463,4,22,BENIGN
99098,96,88,79824,992,3,30,BENIGN
14545,32,2,55021,924,5,25,BENIGN
67199,55,84,72923,393,6,1,BENIGN
35766,79,98,40293,116,9,38,BENIGN
74530,58,43,89552,630,9,6,BENIGN
94557,99,26,47116,849,0,23,BENIGN
62087,3,71,41484,112,8,38,BENIGN
96839,80,38,31215,150,7,31,BENIGN
69840,69,94,82638,586,6,25,BENIGN
55384,85,42,4404,143,8,22,BENIGN
52005,10,5,38260,208,2,13,BENIGN
47576,83,11,66642,889,9,28,BENIGN
40353,25,65,81731,519,3,24,BENIGN
63003,68,34,47009,676,6,30,BENIGN
84211,61,1,93689,88,5,1,BENIGN
53733,29,83,30605,957,1,1,BENIGN
66318,19,2,54205,903,1,22,BENIGN
90474,43,85,38569,491,9,46,BENIGN
24664,66,20,6580,521,6,10,BENIGN
68172,74,61,6400,259,8,28,BENIGN
86616,61,87,40643,898,8,41,BENIGN
94264,43,21,97185,608,6,34,BENIGN
27736,25,88,97032,825,7,48,BENIGN
95209,20,68,87173,762,9,8,BENIGN
1854,48,12,40015,609,2,31,BENIGN
91084,83,22,72713,984,0,29,BENIGN
39623,87,20,73805,492,6,14,BENIGN
8392,24,82,15974,845,7,13,BENIGN
56680,11,1,15037,181,1,16,BENIGN
47717,98,30,85292,878,8,21,BENIGN
88092,55,97,17167,26,3,29,BENIGN
51859,28,24,89754,744,9,16,BENIGN
27309,69,14,91703,303,8,15,BENIGN
88455,63,36,44148,403,2,7,BENIGN
64734,59,69,73153,831,7,38,BENIGN
71467,5,75,22534,507,1,30,BENIGN
53662,51,24,91995,228,2,11,BENIGN
99506,21,60,87078,243,0,32,BENIGN
13688,12,95,57879,399,4,11,BENIGN
26342,50,55,66839,257,3,24,BENIGN
38157,4,77,30756,911,0,37,BENIGN
68863,42,80,13683,61,9,47,BENIGN
53083,84,24,50485,24,8,17,BENIGN
66733,38,77,99231,333,5,18,BENIGN
90045,25,24,12025,450,5,2,BENIGN
35698,14,54,87426,121,1,34,BENIGN
81623,75,26,19715,705,6,4,BENIGN
23671,32,66,71097,881,8,34,BENIGN
26184,11,80,99383,16,5,26,BENIGN
94384,61,38,93943,572,7,36,BENIGN
43107,18,65,88116,835,4,45,BENIGN
87202,27,75,76705,762,1,20,BENIGN
52663,55,51,18116,254,3,15,BENIGN
16708,54,35,37744,457,0,27,BENIGN
92906,82,43,88579,374,0,24,BENIGN
50811,87,29,3124,376,5,32,BENIGN
3811,75,37,39051,931,1,16,BENIGN
57250,21,81,8176,707,5,42,BENIGN
73082,44,58,92310,296,0,29,BENIGN
35754,5,54,65818,971,9,40,BENIGN
96742,87,39,19676,613,2,3,BENIGN
12411,41,42,46177,115,8,1,BENIGN
3911,59,28,91296,22,1,8,BENIGN
68270,89,29,1997,155,7,30,BENIGN
84763,54,43,60330,487,5,24,BENIGN
9680,74,3,44769,640,5,36,BENIGN
85896,22,10,79653,724,6,35,BENIGN
84879,83,59,12231,662,4,4,BENIGN
72295,65,14,96287,124,3,23,BENIGN
89614,64,76,73976,518,5,23,BENIGN
12111,71,47,86447,161,7,28,BENIGN
38504,4,42,56965,66,3,49,BENIGN
2802,65,94,82144,391,4,44,BENIGN
9155,15,32,96201,166,6,30,BENIGN
74656,76,32,62517,961,5,36,BENIGN
40384,22,42,93693,831,3,18,BENIGN
48254,86,32,95315,142,3,22,BENIGN
22918,47,26,96504,172,9,34,BENIGN
86981,81,1,28387,284,3,49,BENIGN
61713,93,56,5090,704,0,5,BENIGN
31306,46,2,25945,86,4,5,BENIGN
17646,14,81,41239,846,7,36,BENIGN
47843,50,30,4743,53,6,29,BENIGN
97601,20,71,31924,727,4,0,BENIGN
91735,50,52,11196,559,2,7,BENIGN
17371,33,91,92815,327,0,27,BENIGN
78371,59,9,69860,543,6,24,BENIGN
3049,43,22,42400,594,2,32,BENIGN
32616,79,34,86177,762,3,37,BENIGN
21932,12,49,94018,945,4,13,BENIGN
30855,40,1,99530,163,7,10,BENIGN
62434,20,73,81399,246,6,1,BENIGN
73694,94,84,49795,902,8,29,BENIGN
44016,38,53,52553,526,2,29,BENIGN
8400,3,83,25111,230,9,3,BENIGN
43642,28,40,64083,319,0,12,BENIGN
16151,56,45,62600,607,0,6,BENIGN
52407,90,68,51022,186,9,37,BENIGN
67690,94,9,4199,780,0,2,BENIGN
5499,13,22,51897,229,1,8,BENIGN
7295,77,18,39038,47,1,13,BENIGN
60040,66,76,56038,663,6,10,BENIGN
13183,37,43,8897,440,8,36,BENIGN
30299,49,39,65541,919,7,13,BENIGN
13874,66,73,15892,756,3,18,BENIGN
33711,36,6,9271,212,1,7,BENIGN
6539,54,83,25815,850,2,6,BENIGN
54351,26,48,46612,815,9,6,BENIGN
62267,75,7,34357,457,4,2,BENIGN
49354,72,80,76088,504,8,2,BENIGN
3557,40,69,17267,693,7,17,BENIGN
39360,43,16,19268,134,2,44,BENIGN
83018,22,1,15263,847,8,32,BENIGN
3200,20,37,71935,74,9,36,BENIGN
69497,8,83,96347,802,2,27,BENIGN
47975,29,37,60660,793,9,35,BENIGN
22357,40,81,66527,253,7,15,BENIGN
78505,90,64,64379,536,0,14,BENIGN
3869,30,90,95542,235,3,28,BENIGN
62135,81,86,42271,474,3,17,BENIGN
51108,84,62,67612,652,5,48,BENIGN
95179,55,72,8235,716,1,45,BENIGN
91272,16,61,89757,302,6,45,BENIGN
39467,46,33,17417,730,4,18,BENIGN
24328,62,66,99075,960,9,28,BENIGN
92412,7,30,35609,390,5,5,BENIGN
87831,80,20,34902,634,5,44,BENIGN
4987,45,60,24645,765,5,49,BENIGN
59871,59,82,63873,175,9,46,BENIGN
23399,56,74,88218,712,7,26,BENIGN
47214,48,24,65558,778,9,6,BENIGN
87416,27,4,63233,848,3,26,BENIGN
71271,53,37,24401,227,9,18,BENIGN
45064,87,4,8771,880,7,16,BENIGN
71091,88,77,42335,284,8,40,BENIGN
41818,73,89,75451,61,3,10,BENIGN
46525,35,77,80434,383,0,4,BENIGN
20830,51,18,68449,679,2,1,BENIGN
18429,84,88,93604,372,0,46,BENIGN
7893,37,66,2942,576,6,11,BENIGN
80909,81,48,21388,23,0,41,BENIGN
48333,95,33,84251,790,3,41,BENIGN
4436,57,58,58042,349,0,10,BENIGN
75290,8,83,54740,611,1,9,BENIGN
77213,79,73,66873,548,0,27,BENIGN
6895,95,28,48024,98,4,6,BENIGN
20738,94,35,24450,914,6,13,BENIGN
31746,20,10,57965,50,2,12,BENIGN
50377,53,65,11057,313,7,4,BENIGN
49404,12,42,94249,277,4,41,BENIGN
55045,49,85,9983,147,4,7,BENIGN
98888,17,9,20995,15,4,49,BENIGN
40790,64,60,92628,251,7,0,BENIGN
6600,42,15,78681,171,1,4,BENIGN
95660,94,99,39886,701,1,10,BENIGN
94179,29,57,90025,818,7,42,BENIGN
41764,19,69,97572,988,8,47,BENIGN
75543,11,22,96149,527,9,9,BENIGN
46714,98,64,95020,907,9,14,BENIGN
57835,50,41,3673,792,1,38,BENIGN
74744,71,87,35890,410,3,46,BENIGN
57491,58,71,78513,793,7,28,BENIGN
19589,34,56,24466,165,1,24,BENIGN
44484,20,23,93545,94,3,47,BENIGN
83989,50,25,51406,721,9,5,BENIGN
37212,88,91,4688,19,0,10,BENIGN
44525,10,6,70284,147,1,16,BENIGN
48202,32,34,14665,763,6,14,BENIGN
33635,52,63,21641,915,0,15,BENIGN
64208,15,9,33500,722,0,1,BENIGN
34828,84,60,36797,165,1,35,BENIGN
19711,3,49,85766,417,3,18,BENIGN
4420,37,97,46950,796,6,37,BENIGN
97752,40,51,26046,234,3,49,BENIGN
1301,72,60,10638,589,4,20,BENIGN
46236,40,70,87363,193,3,10,BENIGN
67235,56,37,22173,204,3,40,BENIGN
55240,23,31,14222,563,8,2,BENIGN
66726,11,98,51064,405,5,33,BENIGN
11492,64,41,38010,923,2,17,BENIGN
7102,8,62,19095,672,5,14,BENIGN
51336,93,93,2439,605,6,24,BENIGN
86314,94,58,86550,143,6,49,BENIGN
27641,56,14,6375,318,7,14,BENIGN
35584,60,36,90023,875,3,29,BENIGN
33745,10,36,92238,819,0,16,BENIGN
24093,39,79,21600,971,5,17,BENIGN
67105,28,8,3466,551,7,30,BENIGN
52885,49,26,46097,18,4,49,BENIGN
37631,36,36,54276,996,2,42,BENIGN
73991,13,48,51117,179,3,17,BENIGN
5014,96,85,47971,299,7,34,BENIGN
12093,36,28,7928,177,5,12,BENIGN
19070,26,68,89016,353,4,13,BENIGN
36777,86,62,56309,506,8,35,BENIGN
57958,4,80,75647,154,9,17,BENIGN
83074,95,86,41888,422,2,4,BENIGN
11729,82,76,96025,749,6,13,BENIGN
46017,64,80,44832,827,8,24,BENIGN
67320,38,51,10404,597,3,43,BENIGN
28751,88,42,34639,744,9,38,BENIGN
79069,87,29,79118,698,9,11,BENIGN
55748,22,82,61598,466,2,39,BENIGN
6801,2,10,67399,710,0,27,BENIGN
20190,31,39,28684,988,8,34,BENIGN
50689,11,82,69591,311,0,0,BENIGN
51993,92,1,78722,55,1,2,BENIGN
30592,46,39,3682,903,8,42,BENIGN
11647,96,21,39046,26,4,49,BENIGN
9716,62,65,22832,587,3,6,BENIGN
89891,69,15,17997,369,8,8,BENIGN
88545,64,4,35640,270,8,35,BENIGN
90912,10,60,77882,132,1,22,BENIGN
71316,40,61,41491,240,2,23,BENIGN
3368,24,20,64043,959,2,9,BENIGN
78575,99,10,73725,646,4,49,BENIGN
7655,44,87,46520,121,2,47,BENIGN
71031,60,34,63919,793,9,11,BENIGN
77429,62,48,65442,602,5,18,BENIGN
92083,87,33,22770,255,1,31,BENIGN
88922,17,98,48498,868,5,23,BENIGN
56766,65,61,62477,400,5,21,BENIGN
14403,95,10,1244,401,1,2,BENIGN
33097,95,54,33788,337,5,39,BENIGN
79657,57,84,96341,224,5,26,BENIGN
11966,55,65,80453,873,5,18,BENIGN
94848,53,77,58737,756,4,8,BENIGN
53921,56,1,47489,376,6,48,BENIGN
50726,98,5,72303,91,4,12,BENIGN
51300,9,80,29390,815,0,1,BENIGN
23677,22,15,11247,831,8,35,BENIGN
56609,13,28,70051,85,2,28,BENIGN
97825,89,95,60719,536,1,10,BENIGN
57661,48,23,35678,741,9,33,BENIGN
32024,18,17,88802,512,5,3,BENIGN
71313,76,98,77286,751,7,3,BENIGN
54006,40,13,30583,955,1,0,BENIGN
96285,17,14,9076,961,3,24,BENIGN
16338,15,11,19006,488,1,25,BENIGN
69027,15,28,16051,381,8,10,BENIGN
93772,79,42,5314,274,9,22,BENIGN
81135,63,96,29670,273,1,1,BENIGN
20508,39,99,68551,119,9,18,BENIGN
4051,13,61,11236,924,1,28,BENIGN
49747,81,64,36568,316,4,39,BENIGN
88142,32,31,61314,209,4,3,BENIGN
88235,9,81,92903,235,6,15,BENIGN
55021,40,73,17352,194,0,46,BENIGN
67412,20,10,46650,973,1,36,BENIGN
59335,90,8,11346,40,5,26,BENIGN
57179,91,21,26156,623,1,4,BENIGN
33093,85,77,56904,780,3,14,BENIGN
70678,82,59,15035,108,9,22,BENIGN
81738,77,50,17108,348,5,48,BENIGN
40734,80,69,3853,820,6,2,BENIGN
73615,73,70,85156,806,9,17,BENIGN
74523,63,30,5176,275,4,42,BENIGN
95476,76,95,26920,661,7,25,BENIGN
18019,44,17,55850,823,5,5,BENIGN
84613,38,75,7829,807,4,43,BENIGN
92794,83,20,91666,359,3,16,BENIGN
87672,60,48,74927,987,5,45,BENIGN
74847,71,73,85860,737,5,37,BENIGN
83750,99,2,41667,553,5,41,BENIGN
80634,48,37,66842,466,0,47,BENIGN
29251,18,1,36843,824,5,49,BENIGN
26945,16,4,51808,97,0,26,BENIGN
91852,55,54,31543,72,4,19,BENIGN
33217,39,25,73780,931,6,5,BENIGN
9308,68,3,7611,396,0,34,BENIGN
6949,59,9,89242,800,0,11,BENIGN
52990,89,86,85612,468,5,47,BENIGN
2150,96,87,47902,595,6,2,BENIGN
90480,62,76,34043,827,5,47,BENIGN
75740,13,74,6271,941,4,3,BENIGN
67617,81,34,73867,645,5,44,BENIGN
95841,6,43,78089,278,2,3,BENIGN
17896,83,74,59745,903,8,3,BENIGN
47175,77,94,97876,806,4,38,BENIGN
8805,60,22,63077,943,1,20,BENIGN
6237,90,70,60119,982,9,43,BENIGN
21056,14,2,12573,642,9,1,BENIGN
46543,95,94,22409,355,6,15,BENIGN
57556,54,66,86970,733,2,6,BENIGN
4343,4,32,25464,910,0,18,BENIGN
14500,39,16,43840,669,2,42,BENIGN
54222,72,76,49785,87,8,32,BENIGN
30375,25,1,21662,374,4,8,BENIGN
10662,77,72,19228,23,6,36,BENIGN
17964,32,48,61721,145,2,16,BENIGN
60638,59,50,50223,313,3,26,BENIGN
74666,63,13,8386,406,0,32,BENIGN
86067,38,15,7862,801,2,48,BENIGN
68215,92,53,41108,88,6,11,BENIGN
70042,53,44,92788,764,3,44,BENIGN
14284,94,8,76023,714,1,10,BENIGN
73789,67,74,81140,991,4,12,BENIGN
85664,28,46,83963,427,4,30,BENIGN
94468,3,69,28201,251,1,12,BENIGN
62389,98,19,69578,60,5,37,BENIGN
10435,80,38,50966,753,9,25,BENIGN
55340,22,11,55774,780,3,30,BENIGN
45078,96,43,11386,393,0,21,BENIGN
79832,38,20,78228,384,2,5,BENIGN
52293,72,20,16225,739,8,19,BENIGN
96981,72,21,17693,215,9,20,BENIGN
79781,62,82,73197,835,6,9,BENIGN
61403,57,57,44021,498,5,18,BENIGN
30124,6,50,19261,390,0,34,BENIGN
96435,78,74,28378,977,8,25,BENIGN
44919,32,98,87755,890,8,6,BENIGN
36247,99,26,12937,320,0,36,BENIGN
95758,10,30,67330,384,5,7,BENIGN
92747,3,73,48366,641,6,4,BENIGN
63752,59,31,73322,601,1,43,BENIGN
57573,76,42,41160,51,9,35,BENIGN
60101,49,68,46313,542,7,27,BENIGN
27646,59,61,28032,531,7,49,BENIGN
24049,31,61,92963,834,5,2,BENIGN
80605,93,70,18358,162,8,38,BENIGN
99116,69,78,62710,321,2,7,BENIGN
98379,62,68,96326,303,1,14,BENIGN
69385,52,90,87157,607,1,26,BENIGN
41158,89,17,49821,122,5,48,BENIGN
66417,41,19,29365,710,6,35,BENIGN
24289,31,51,14189,121,5,15,BENIGN
10823,85,70,77749,184,2,25,BENIGN
61160,84,63,8248,831,4,44,BENIGN
42975,22,93,5369,311,7,43,BENIGN
10540,4,75,64763,973,5,3,BENIGN
17364,13,80,9050,525,1,11,BENIGN
5611,45,30,29605,743,6,16,BENIGN
28663,42,25,50616,971,7,40,BENIGN
52991,49,75,55479,230,3,43,BENIGN
58679,20,71,81934,180,0,25,BENIGN
31977,77,26,41883,327,1,30,BENIGN
95704,81,56,34055,222,3,14,BENIGN
50115,54,22,69731,262,6,33,BENIGN
92007,36,89,91987,133,1,28,BENIGN
89223,97,19,8450,649,5,8,BENIGN
61890,1,31,3925,222,1,13,BENIGN
67387,15,26,81051,633,6,35,BENIGN
19071,77,42,51272,94,1,3,BENIGN
60275,17,41,6310,525,2,37,BENIGN
73369,24,23,32817,74,8,36,BENIGN
12938,58,47,93944,327,3,23,BENIGN
36195,72,13,45528,355,4,16,BENIGN
92680,91,89,56779,641,8,12,BENIGN
5000,23,66,85816,252,6,19,BENIGN
71588,46,66,83641,907,7,16,BENIGN
94610,72,16,85083,146,2,26,BENIGN
98856,8,73,77310,256,3,32,BENIGN
39304,59,28,16457,450,6,20,BENIGN
70449,90,77,43311,54,3,16,BENIGN
83986,59,35,4980,667,1,21,BENIGN
90643,13,41,21886,889,9,24,BENIGN
21764,39,77,78112,697,5,2,BENIGN
87027,28,31,51877,563,8,26,BENIGN
39494,89,85,98427,818,1,26,BENIGN
4373,61,32,37181,980,0,45,BENIGN
13161,16,54,34262,98,7,11,BENIGN
98532,2,98,1947,739,0,14,BENIGN
93658,82,72,1022,963,0,37,BENIGN
28350,17,59,2128,237,2,19,BENIGN
94008,30,41,80522,819,4,21,BENIGN
95297,13,66,33322,300,8,1,BENIGN
26351,96,96,49929,431,9,3,BENIGN
89668,93,54,82696,76,1,44,BENIGN
16305,94,40,10808,260,0,12,BENIGN
76353,82,28,96148,50,0,31,BENIGN
77797,13,37,53882,108,7,21,BENIGN
66953,43,65,22725,315,9,24,BENIGN
58458,85,74,73534,881,9,26,BENIGN
21358,94,55,40950,863,9,16,BENIGN
4267,21,4,89954,465,1,5,BENIGN
83745,55,99,84576,600,8,42,BENIGN
90588,81,10,21557,310,8,15,BENIGN
39513,40,47,22825,208,1,7,BENIGN
27092,83,75,9998,668,2,32,BENIGN
12338,15,14,37080,497,1,9,BENIGN
1412,73,38,58797,115,5,33,BENIGN
8543,52,12,16802,410,6,18,BENIGN
34496,74,45,12167,714,5,13,BENIGN
61692,95,17,43407,486,2,2,BENIGN
90084,53,80,14338,131,2,40,BENIGN
93920,87,35,77289,86,1,22,BENIGN
45425,52,66,72520,321,1,39,BENIGN
39756,30,75,19895,121,4,10,BENIGN
19888,33,41,48910,870,7,46,BENIGN
36735,57,67,66898,818,5,5,BENIGN
48295,52,29,4454,691,8,33,BENIGN
84042,9,18,87540,527,4,0,BENIGN
86999,54,20,61797,206,9,34,BENIGN
18955,1,14,84137,107,3,24,BENIGN
38841,44,34,51637,468,8,28,BENIGN
71640,99,49,6349,850,9,22,BENIGN
66510,75,54,40963,239,4,17,BENIGN
35911,98,31,76583,177,0,13,BENIGN
60031,80,58,8750,818,4,16,BENIGN
89726,9,42,95929,786,4,1,BENIGN
8357,32,58,23463,17,4,30,BENIGN
33479,15,82,75935,181,1,18,BENIGN
62476,12,30,59792,963,5,31,BENIGN
45811,97,25,14686,369,4,27,BENIGN
37208,78,63,64528,204,1,40,BENIGN
21150,57,19,23787,278,9,7,BENIGN
72180,8,72,15776,28,7,41,BENIGN
44286,72,92,96063,363,5,40,BENIGN
69450,27,8,58427,873,9,39,BENIGN
22352,62,95,62086,58,2,38,BENIGN
56069,12,3,64308,473,8,21,BENIGN
15397,65,67,16797,365,3,23,BENIGN
42555,42,86,6302,859,2,37,BENIGN
47959,62,81,64172,983,6,1,BENIGN
1728,11,17,39059,167,7,40,BENIGN
51517,43,14,1908,75,6,40,BENIGN
67234,95,9,61252,982,0,18,BENIGN
40954,17,62,81659,868,0,40,BENIGN
48280,97,94,13877,580,4,1,BENIGN
80459,32,21,15239,830,7,27,BENIGN
17779,93,76,87971,317,9,31,BENIGN
64932,85,37,28313,346,2,18,BENIGN
73936,85,96,43103,680,7,15,BENIGN
25466,40,11,49408,792,2,29,BENIGN
37939,23,20,84251,130,3,21,BENIGN
70896,56,35,89771,775,9,13,BENIGN
36270,6,53,92665,413,6,0,BENIGN
60163,86,47,11534,782,2,44,BENIGN
83637,50,75,44060,656,3,1,BENIGN
52934,37,52,18189,795,7,21,BENIGN
65895,64,8,87067,577,3,45,BENIGN
33307,54,4,11967,852,8,32,BENIGN
55098,72,27,82991,105,3,14,BENIGN
61921,49,44,66563,123,3,49,BENIGN
6486,99,40,9660,996,4,40,BENIGN
9335,11,47,91875,995,0,21,BENIGN
87900,88,94,40823,878,6,39,BENIGN
90112,49,44,56842,438,8,38,BENIGN
